Week,Duration,Distance,Steps,AvgBpm
Weekend,18,1.25,1761,85
Weekend,60,3.61,5492,88
Weekend,21,1.72,2650,81
Weekend,109,7.21,20768,84
Weekend,59,4.54,11027,82
Weekend,216,16.53,23376,110
Weekend,213,13.32,21593,110
Weekday,126,7.59,12599,85
Weekday,23,8.33,13374,89
Weekday,43,2.7,3992,73
Weekday,126,7.57,12545,77
Weekday,140,8.64,13922,78
Weekday,40,2.38,3631,76
Weekday,147,9.94,14171,83
Weekday,178,11.43,17165,80
Weekday,134,9.12,12962,82
Weekday,164,11.14,15956,86
Weekend,17,4.7,6470,74
Weekend,10,0.61,928,67
Weekday,103,6.85,9886,75
Weekday,16,1,1472,66
Weekday,161,9.54,14912,89
Weekday,13,0.84,1243,74
Weekday,13,0.82,1245,67
Weekend,12,0.73,1086,65
Weekend,9,0.56,839,67
Weekday,94,5.83,8865,84
Weekday,67,3.66,5694,81
Weekday,231,13.53,22613,79
Weekday,81,4.84,7176,81
Weekday,11,0.73,1066,75
Weekend,46,3,9639,77
Weekend,88,5.38,8105,82
Weekday,123,8.05,11804,76
Weekday,112,7.18,10726,80
Weekday,129,8.63,12353,77
Weekend,5,0.3,450,80